Rank,Team,Player,FGP,P3P,FTP,Minutes,Points,Rebounds,Assists,WS,WS/48,BPM,VORP,Position,Class Year,Year,School,Conf,G,GS,MP,FG,FGA,FG.PG,P2M,P2MA,P2.PG,P3M,P3MA,P3.PG,FT,FTA,FT.PG,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,SOS,Year.1,School.1,Conf.1,G.1,GS.1,MP.1,FG.1,FGA.1,FG.PG1,P2M.1,P2MA.1,P2.PG1,P3M.1,P3MA.1,P3.PG1,FT.1,FTA.1,FT.PG1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,PTS.1,,SOS.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MIL,Tiny Gallon,,,,,,,,,,,,PF,Freshman,2009-10,Oklahoma,Big 12,30,21,24,4.1,7.4,0.547,3.9,6.9,0.573,0.1,0.6,0.235,2.1,3,0.697,2.8,5.2,7.9,0.8,0.7,0.8,2.3,2.8,10.3,,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MIA,Latavious Williams,,,,,,,,,,,,C,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,SAS,Ryan Richards,,,,,,,,,,,,PF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,DAL,Solomon Alabi,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-5.4,-0.2,C,Junior,2009-10,Florida State,ACC,32,32,25.6,4.2,7.8,0.534,4.2,7.8,0.534,0,0,0,3.4,4.3,0.794,2.5,3.7,6.2,0.5,0.6,2.3,1.9,2.3,11.7,,6.79,2008-09,Florida State,ACC,45,36,19.4,3.1,5.7,0.5,3.1,5.7,0.5,0.0,0.0,0.0,1.3,1.8,0.7,1.8,3.0,4.8,0.2,0.4,1.9,1.5,1.9,7.3,,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,OKC,Magnum Rolle,1,,,,,,,,,,,PF,Senior,2009-10,Louisiana Tech,WAC,34,33,30.1,5.6,10.8,0.514,5.6,10.8,0.514,0,0,,2.7,4.1,0.66,3.5,4.9,8.4,0.8,0.8,2.1,2,2.8,13.9,,-0.4,2008-09,Louisiana Tech,WAC,92,39,17.6,2.4,4.8,0.5,2.4,4.8,0.5,0.0,0.0,0.0,1.2,1.9,0.6,1.7,2.8,4.5,0.5,0.6,1.1,1.2,1.9,6.0,,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BOS,Luke Harangody,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.3,-0.3,PF,Senior,2009-10,Notre Dame,Big East,30,25,33,8.1,16.9,0.481,7.3,14.2,0.514,0.8,2.7,0.309,4.7,5.9,0.787,2.2,6.9,9.1,1.6,0.5,0.7,1.8,2.3,21.8,,6.22,2008-09,Notre Dame,Big East,99,83,28.1,7.0,14.8,0.5,6.8,14.3,0.5,0.2,0.5,0.4,4.3,5.5,0.8,3.2,6.3,9.6,1.7,0.9,0.8,1.8,2.5,18.4,,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ATL,Pape Sy,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0,SF,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,LAC,Willie Warren,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-4.5,-0.1,PG,Sophomore,2009-10,Oklahoma,Big 12,21,19,32.3,5,11.5,0.438,3.6,6.9,0.524,1.4,4.6,0.309,4.8,6,0.795,0.7,2.6,3.3,4.1,1,0,3.8,2.3,16.3,,7.79,2008-09,Oklahoma,Big 12,36,34,31.3,4.8,10.1,0.473,2.9,5.1,0.571,1.9,5,0.372,3.2,4.1,0.781,0.5,1.7,2.2,3.1,1.1,0.1,2.2,2.3,14.6,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,UTA,Jeremy Evans,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,1,2,SF,Senior,2009-10,Western Kentucky,Sun Belt,34,34,26.5,4,6.2,0.649,3.9,5.9,0.673,0.1,0.4,0.25,1.9,2.7,0.688,3,3.9,6.9,0.7,0.8,1.8,1.1,2.9,10,,-2.18,2008-09,Western Kentucky,Sun Belt,100,96,22.5,2.9,4.6,0.6,2.8,4.4,0.6,0.1,0.2,0.3,1.3,2.0,0.7,2.2,3.3,5.5,0.5,0.6,1.6,1.0,2.3,7.2,,-1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MIN,Hamady N'Diaye,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-4.9,-0.1,C,Senior,2009-10,Rutgers,Big East,32,25,28.3,3.6,6.2,0.579,3.6,6.2,0.579,0,0,0,2.3,3.8,0.617,2.4,4.8,7.1,0.4,0.4,4.5,1.5,2.9,9.4,,5.91,2008-09,Rutgers,Big East,92,60,19.9,1.7,3.2,0.5,1.7,3.2,0.5,0.0,0.0,0.0,1.2,2.1,0.6,1.6,3.4,4.9,0.4,0.4,2.3,1.3,2.6,4.6,,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,IND,Ryan Reid,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-5.5,0,PF,Senior,2009-10,Florida State,ACC,31,29,22.7,2.6,5.4,0.491,2.6,5.4,0.491,0,0,0,1.5,2.5,0.597,1.9,2.1,4,1.1,0.6,0.5,1.6,1.5,6.8,,6.79,2008-09,Florida State,ACC,95,37,19.3,1.6,3.2,0.5,1.6,3.2,0.5,0.0,0.0,0.0,1.1,1.8,0.6,1.6,2.2,3.9,0.5,0.6,0.6,1.7,2.1,4.3,,8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,LAL,Derrick Caracter,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-4.9,-0.2,C,Senior,2009-10,UTEP,CUSA,27,22,26.7,5.5,9.7,0.567,5.3,9.1,0.585,0.1,0.6,0.267,3,4.4,0.672,2.7,5.4,8.1,1.1,1,0.9,2.9,3,14.1,,1.96,2007-08,Louisville,Big East,70,12,16.5,2.2,3.9,0.6,2.2,3.9,0.6,0.0,0.0,0.0,1.2,2.2,0.6,1.7,2.2,3.9,0.4,0.5,0.7,1.5,2.5,5.6,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ORL,Stanley Robinson,,,,,,,,,,,,SF,Senior,2009-10,UConn,Big East,34,34,34.2,6,11.4,0.525,5.2,9.1,0.571,0.8,2.3,0.342,1.8,2.9,0.629,2.7,5,7.6,1,0.9,1.2,2.3,1.5,14.5,,9.15,2008-09,UConn,Big East,92,69,23.3,3.1,6.8,0.5,2.6,5.3,0.5,0.5,1.4,0.3,1.3,2.0,0.7,1.9,3.7,5.6,1.1,0.5,1.0,1.5,1.7,8.0,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PHO,Dwayne Collins,,,,,,,,,,,,PF,Senior,2009-10,Miami (FL),ACC,29,28,24.7,4.4,7.3,0.604,4.4,7.3,0.604,0,0,0,3.1,5.5,0.569,2.9,4.8,7.8,1.2,0.6,1.1,2.4,2.3,12,,7.01,2008-09,Miami (FL),ACC,97,71,23.3,3.4,6.3,0.5,3.4,6.3,0.5,0.0,0.0,0.0,2.3,4.2,0.6,3.0,3.8,6.8,0.8,0.7,0.6,1.6,2.1,9.2,,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LAC,Blake Griffin,0.498,0.333,0.694,34.8,21.7,8.8,4.4,75.3,0.167,3.8,32,PF,Sophomore,2008-09,Oklahoma,Big 12,35,35,33.3,8.6,13.1,0.654,8.5,12.9,0.659,0.1,0.2,0.375,5.5,9.3,0.59,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5,22.7,,6.88,2007-08,Oklahoma,Big 12,33,28,28.4,5.6,9.8,0.568,5.6,9.8,0.571,0,0.1,0,3.5,6,0.589,3.3,5.8,9.1,1.8,1,0.8,2.3,2.5,14.7,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MEM,Hasheem Thabeet,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-1.4,0.4,C,Junior,2008-09,UConn,Big East,36,36,31.8,4.9,7.7,0.64,4.9,7.7,0.64,0,0,,3.7,5.9,0.627,3.7,7.1,10.8,0.5,0.6,4.2,1.9,2.5,13.6,,8.57,2007-08,UConn,Big East,64,63,27.9,2.9,4.8,0.6,2.9,4.8,0.6,0.0,0.0,0.0,2.8,4.4,0.6,2.7,4.5,7.2,0.4,0.3,4.2,1.7,2.6,8.4,,6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,OKC,James Harden,0.444,0.366,0.858,34.3,25,5.3,6.3,130.2,0.228,7.3,64.3,SG,Sophomore,2008-09,Arizona State,Pac-10,35,35,35.8,6.3,12.9,0.489,4.7,8.3,0.564,1.7,4.7,0.356,5.8,7.7,0.756,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8,20.1,,7.82,2007-08,Arizona State,Pac-10,34,33,34.1,5.8,10.9,0.527,4.5,7.8,0.576,1.3,3.2,0.407,5,6.6,0.754,1.3,4,5.3,3.2,2.1,0.6,2.6,2.1,17.8,,6.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SAC,Tyreke Evans,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.7,12.6,SG,Freshman,2008-09,Memphis,CUSA,37,35,29,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MIN,Ricky Rubio,0.39,0.322,0.838,30.9,11.2,4.2,7.8,34.4,0.101,1.1,12.7,PG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MIN,Jonny Flynn,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4.9,-2.7,PG,Sophomore,2008-09,Syracuse,Big East,38,38,37.3,5.8,12.5,0.46,4.6,8.8,0.521,1.2,3.7,0.317,4.7,6,0.786,0.6,2.2,2.7,6.7,1.4,0.2,3.4,1.4,17.4,,9.48,2007-08,Syracuse,Big East,35,35,35.5,5.5,11.9,0.459,3.9,7.3,0.529,1.6,4.6,0.348,3.1,4.1,0.775,0.6,2.1,2.7,5.3,1.5,0.2,2.7,1.5,15.7,,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GSW,Stephen Curry,0.476,0.435,0.905,34.3,23.5,4.5,6.6,103.1,0.207,6.5,51.2,PG,Junior,2008-09,Davidson,Southern,34,34,33.7,9.2,20.2,0.454,5.4,10.3,0.519,3.8,9.9,0.387,6.5,7.4,0.876,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4,28.6,,-3.33,2007-08,Davidson,Southern,70,69,32.0,8.0,16.8,0.5,3.9,7.3,0.5,4.1,9.6,0.4,3.7,4.2,0.9,0.8,3.8,4.6,2.9,1.9,0.3,2.7,2.5,23.8,,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NYK,Jordan Hill,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0,C,Junior,2008-09,Arizona,Pac-10,34,34,35.7,7.4,13.8,0.537,7.4,13.8,0.537,0,0,,3.4,5.3,0.654,4.2,6.8,11,1.5,0.9,1.7,2.9,3,18.3,,8.8,2007-08,Arizona,Pac-10,63,45,22.4,3.8,6.1,0.6,3.8,6.1,0.6,0.0,0.0,0.0,1.6,2.6,0.6,2.1,4.1,6.2,0.5,0.4,1.3,1.5,2.5,9.3,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TOR,DeMar DeRozan,0.455,0.283,0.827,34.1,20,4.3,3.5,63.6,0.114,-0.4,10.8,SG,Freshman,2008-09,USC,Pac-10,35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,,9.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MIL,Brandon Jennings,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.4,10.4,PG,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,NJN,Terrence Williams,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-3.8,-1.4,SG,Senior,2008-09,Louisville,Big East,37,36,34.2,4.6,10.6,0.431,3,6.6,0.459,1.5,4,0.385,1.8,3.2,0.581,1.4,7.2,8.6,5,2.3,0.8,2.3,1.7,12.5,,8.41,2007-08,Louisville,Big East,103,91,31.5,4.0,10.2,0.4,2.6,5.8,0.5,1.3,4.5,0.3,1.4,2.4,0.6,1.5,4.8,6.3,3.5,1.2,0.6,2.4,1.9,10.7,,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CHA,Gerald Henderson,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-2.2,-0.9,SG,Junior,2008-09,Duke,ACC,37,36,29.7,5.8,12.8,0.45,4.6,9.5,0.49,1.1,3.3,0.336,3.9,5.1,0.761,1.2,3.7,4.9,2.5,1.2,0.8,2.2,1.7,16.5,,9.07,2007-08,Duke,ACC,66,43,22.9,3.7,7.9,0.5,3.3,6.6,0.5,0.5,1.4,0.3,2.1,3.1,0.7,1.2,2.7,3.8,1.4,0.8,0.6,1.7,1.8,9.8,,9.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,IND,Tyler Hansbrough,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1,PF,Senior,2008-09,UNC,ACC,34,34,30.3,6.6,12.8,0.514,6.3,12.1,0.521,0.3,0.7,0.391,7.3,8.7,0.841,3,5.1,8.1,1,1.2,0.4,1.9,2.3,20.7,,8.35,2007-08,UNC,ACC,108,107,31.2,6.6,12.2,0.5,6.6,12.0,0.6,0.0,0.1,0.2,6.8,8.8,0.8,3.5,5.2,8.7,1.1,1.3,0.5,2.1,2.5,20.1,,8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PHO,Earl Clark,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-3.6,-1.5,PF,Junior,2008-09,Louisville,Big East,37,36,34.3,5.5,11.9,0.457,4.6,9.4,0.493,0.8,2.6,0.326,2.4,3.8,0.647,2.8,5.9,8.7,3.2,1,1.4,3.2,1.9,14.2,,8.41,2007-08,Louisville,Big East,67,27,22.5,3.2,6.8,0.5,2.8,5.4,0.5,0.4,1.4,0.3,1.8,2.8,0.7,1.8,4.2,6.0,0.9,0.9,1.1,1.6,1.5,8.6,,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DET,Austin Daye,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6,SF,Sophomore,2008-09,Gonzaga,WCC,34,33,26.3,4.7,9.8,0.477,3.6,7.3,0.494,1.1,2.5,0.429,2.3,3.2,0.706,1.1,5.8,6.8,1.1,0.7,2.1,2.1,2.9,12.7,,3.55,2007-08,Gonzaga,WCC,33,1,18.5,3.5,7.4,0.475,2.7,5.5,0.497,0.8,1.9,0.413,2.7,3.1,0.881,0.7,4,4.7,1,0.6,1.6,1.7,2.4,10.5,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CHI,James Johnson,0.477,0.305,0.694,20.6,7.9,3.6,2.1,23.7,0.091,1.1,9.7,PF,Sophomore,2008-09,Wake Forest,ACC,31,31,30.5,6,11.1,0.542,5.3,8.9,0.598,0.7,2.2,0.319,2.2,3.2,0.697,2.5,6,8.5,2,1.4,1.5,2.4,2.9,15,,7.36,2007-08,Wake Forest,ACC,30,28,29.2,5.5,11.2,0.487,4.5,7.9,0.574,0.9,3.3,0.28,2.7,4,0.689,3.1,5,8.1,1.2,1.4,1.3,2.6,3.1,14.6,,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PHI,Jrue Holiday,0.452,0.354,0.78,33.2,15.8,3.9,6.4,40.6,0.085,1.3,18.8,SG,Freshman,2008-09,UCLA,Pac-10,35,35,27.1,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MIN,Ty Lawson,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,0.7,10.9,PG,Junior,2008-09,UNC,ACC,35,35,29.9,5.2,9.8,0.532,3.7,6.7,0.56,1.5,3.1,0.472,4.7,5.9,0.798,0.7,2.3,3,6.6,2.1,0.1,1.9,1.7,16.6,,8.35,2007-08,UNC,ACC,70,60,25.5,4.0,7.9,0.5,3.1,5.5,0.6,0.8,2.4,0.3,2.5,3.2,0.8,0.6,2.2,2.8,5.4,1.5,0.1,2.2,2.1,11.3,,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ATL,Jeff Teague,0.446,0.357,0.843,27.8,12.8,2.5,5.8,50.8,0.118,-0.1,10.1,PG,Sophomore,2008-09,Wake Forest,ACC,31,31,32,5.8,12,0.485,4.4,8.7,0.502,1.5,3.3,0.441,5.8,7.1,0.817,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2,18.8,,7.36,2007-08,Wake Forest,ACC,30,21,29.7,4.5,10.4,0.434,3.4,7.7,0.448,1.1,2.7,0.395,3.8,4.7,0.803,0.5,2.2,2.7,2.5,1.8,0.5,2.5,2.3,13.9,,8.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,UTA,Eric Maynor,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-4.7,-2.7,PG,Senior,2008-09,VCU,CAA,34,34,35.5,7.3,15.8,0.463,5.4,10.4,0.516,1.9,5.4,0.361,5.8,7.1,0.815,0.5,3.1,3.6,6.2,1.7,0.2,3,2.4,22.4,,-0.65,2007-08,VCU,CAA,96,70,29.0,4.2,9.6,0.4,3.4,7.5,0.5,0.8,2.1,0.4,3.2,4.1,0.8,0.6,2.7,3.3,4.8,1.2,0.1,2.3,1.8,12.5,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
